        1 file(s) copied. 

n =

   273


p =

   133

Initial regression, p=14, R^2=0.58627
v=26, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=32, ecr=1.548
v=27, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=32, ecr=5.6353
v=28, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=35, ecr=15.4447
v=29, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=763, ecr=7.8082
searching 5: intensive search based on top 6 Btrs, p=15
v=30, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=3.9593
v=31, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=22, ecr=4.6762
v=32, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=22, ecr=4.3756
v=33, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=23, ecr=5.0511
v=34, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=23, ecr=14.0428
v=35, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=20, ecr=8.5779
v=36, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=56, ecr=4.6822
v=37, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=57, ecr=2.5767
v=38, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=57, ecr=1.4586
v=39, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=60, ecr=5.4207
v=40, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=61, ecr=14.9298
v=41, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=703, ecr=7.5486
v=42, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=705, ecr=3.8285
v=43, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=705, ecr=11.1084
v=44, p=11, R^2=0.6119, of=40.0415,  btrsize=20, etrsize=709, ecr=5.6226
searching 6: restart search based on partial etr, p=18
v=45, p=18, R^2=0.70298, of=28.7707,  btrsize=20, etrsize=709, ecr=0.49248
v=46, p=13, R^2=0.65372, of=37.8405,  btrsize=30, etrsize=709, ecr=0.27221
v=47, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=709, ecr=2.5733
v=48, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=710, ecr=8.0959
v=49, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=732, ecr=4.1043
v=50, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=732, ecr=2.0926
v=1, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=732, ecr=6.9422
v=2, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=734, ecr=18.5813
v=3, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=763, ecr=9.389
v=4, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=31, ecr=5.4173
v=5, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=33, ecr=3.3007
v=6, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=33, ecr=2.9348
v=7, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=33, ecr=8.9635
v=8, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=47, ecr=5.2169
v=9, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=55, ecr=2.9693
v=10, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=57, ecr=5.602
v=11, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=57, ecr=15.3648
v=12, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=250, ecr=7.7678
v=13, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=31, ecr=4.4776
v=14, p=11, R^2=0.6119, of=40.0415,  btrsize=31, etrsize=32, ecr=2.6153
searching 7: restart search based on tr4(-3), p=16
v=15, p=15, R^2=0.69893, of=37.506,  btrsize=31, etrsize=34, ecr=1.6393
v=16, p=15, R^2=0.69875, of=37.8241,  btrsize=32, etrsize=35, ecr=1.005
v=17, p=15, R^2=0.69875, of=37.8241,  btrsize=32, etrsize=35, ecr=4.332
v=18, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=39, ecr=12.3168
v=19, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=197, ecr=6.3397
v=20, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=276, ecr=3.2192
v=21, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=277, ecr=9.6461
v=22, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=388, ecr=4.8856
v=23, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=390, ecr=12.5471
v=24, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=764, ecr=6.3478
v=25, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=764, ecr=3.2233
v=26, p=13, R^2=0.65562, of=38.1594,  btrsize=33, etrsize=33, ecr=1.9326
{Index exceeds matrix dimensions.

Error in <a href="matlab:helpUtils.errorDocCallback('reg974_inte', 'D:\MATLAB\isreg\reg974_inte.m', 475)" style="font-weight:bold">reg974_inte</a> (<a href="matlab: opentoline('D:\MATLAB\isreg\reg974_inte.m',475,0)">line 475</a>)
Tr=TR(tr,:);
} 
reg974_inte
        1 file(s) copied. 

n =

   273


p =

    39

Initial regression, p=23, R^2=0.6679
v=0, p=14, R^2=0.66246, of=35.2369,  btrsize=0, etrsize=13, ecr=2.28
v=1, p=9, R^2=0.53624, of=38.1672,  btrsize=13, etrsize=18, ecr=1.7282
v=2, p=9, R^2=0.53624, of=38.1672,  btrsize=13, etrsize=21, ecr=1.2231
v=3, p=11, R^2=0.6119, of=40.0415,  btrsize=16, etrsize=24, ecr=4.8555
v=4, p=11, R^2=0.6119, of=40.0415,  btrsize=16, etrsize=256, ecr=2.4712
v=5, p=11, R^2=0.6119, of=40.0415,  btrsize=16, etrsize=256, ecr=7.8508
v=6, p=11, R^2=0.6119, of=40.0415,  btrsize=16, etrsize=16, ecr=4.901
v=7, p=11, R^2=0.6119, of=40.0415,  btrsize=16, etrsize=36, ecr=2.7876
v=8, p=11, R^2=0.6119, of=40.0415,  btrsize=16, etrsize=37, ecr=1.6114
v=9, p=11, R^2=0.6119, of=40.0415,  btrsize=16, etrsize=37, ecr=5.7873
